model,granularity,freq,series_id,horizon,train_size,test_size,MAE,RMSE,MAPE,SMAPE
AutoARIMA,item,daily,76711646,14,136,14,0.13235293328762054,0.1650731260370531,,200.0
AutoETS,item,daily,76711646,14,136,14,0.13198605179786682,0.16461553346640165,,200.0
Prophet,item,daily,76711646,14,136,14,0.08032760358923882,0.12754502846439494,,200.0
Naive,item,daily,81052301,14,150,14,0.2142857164144516,0.5976143117913144,100.0,200.0
SeasonalNaive,item,daily,81052301,14,150,14,0.5,0.8017837204272693,100.0,200.0
AutoARIMA,item,daily,81052301,14,150,14,0.3714284896850586,0.5579041979989228,83.50000008940697,192.01637238094656
AutoETS,item,daily,81052301,14,150,14,0.37098392844200134,0.5578982685304293,83.54668617248535,192.03554711861906
Prophet,item,daily,81052301,14,150,14,0.3813580346544879,0.5349777362833085,67.83552334330847,186.6490432339808
Naive,item,daily,92443681,14,93,14,0.8571428656578064,0.9258201043711496,0.0,171.42857142857142
SeasonalNaive,item,daily,92443681,14,93,14,0.2857142984867096,0.5345224957723572,50.0,160.0
AutoARIMA,item,daily,92443681,14,93,14,0.33753517270088196,0.3801242286814799,75.06172806024551,188.59401605661452
AutoETS,item,daily,92443681,14,93,14,0.5146734118461609,0.5151477107461742,49.39374029636383,180.79914187883278
Prophet,item,daily,92443681,14,93,14,0.47646070840244065,0.49265284128588416,59.16709716757198,183.52473166512232
Naive,item,daily,92835993,14,18,14,0.7142857313156128,1.0,54.76190476190476,107.14285714285714
SeasonalNaive,item,daily,92835993,14,18,14,0.7142857313156128,1.0,54.76190476190476,107.14285714285714
AutoARIMA,item,daily,92835993,14,18,14,0.79365074634552,0.9804077129438821,63.756613220487324,114.58646576929148
AutoETS,item,daily,92835993,14,18,14,0.7937594652175903,0.9803978943773752,63.768936622710456,114.5955696884058
Prophet,item,daily,92835993,14,18,14,0.7930533941642002,0.9656368959759065,64.48668674508382,115.16336179835132
Naive,item,daily,95490796,14,31,14,1.0,1.0690449915447144,84.52380952380952,136.1904761904762
SeasonalNaive,item,daily,95490796,14,31,14,1.0,1.1338934115182022,85.71428571428571,135.71428571428572
AutoARIMA,item,daily,95490796,14,31,14,1.0416247844696045,1.2038008537919427,79.87199936594281,138.83488697353644
AutoETS,item,daily,95490796,14,31,14,1.0,1.1090574750359175,78.35013135558083,136.1984168141814
Prophet,item,daily,95490796,14,31,14,1.0638819260565562,1.1113433298863369,86.60797493273067,139.75525882209624
Naive,item,daily,98301303,14,160,14,1.0714285373687744,1.10194633776587,58.33333333333333,183.33333333333331
SeasonalNaive,item,daily,98301303,14,160,14,0.6428571343421936,1.10194633776587,100.0,200.0
AutoARIMA,item,daily,98301303,14,160,14,0.571428656578064,0.8968198393762588,87.49999950329463,193.67588910546408
AutoETS,item,daily,98301303,14,160,14,0.571560800075531,0.8968079425585107,87.49228815237682,193.67243349637343
Prophet,item,daily,98301303,14,160,14,0.608385454671544,0.9033628378221484,87.21106812147701,193.52137774559242
Naive,item,weekly,15685802,4,23,4,0.5,1.0,100.0,200.0
SeasonalNaive,item,weekly,15685802,4,23,4,1.0,1.5811388300841898,50.0,133.33333333333331
AutoARIMA,item,weekly,15685802,4,23,4,0.95652174949646,0.9594815396972661,54.34782803058624,168.6567173340879
AutoETS,item,weekly,15685802,4,23,4,0.9581290483474731,0.9608697634758108,54.187098145484924,168.58103688230216
Prophet,item,weekly,15685802,4,23,4,1.0041049982411492,1.0041351259327804,49.9142368590339,166.62857149620268
Naive,item,weekly,16132318,4,22,4,0.0,0.0,,
SeasonalNaive,item,weekly,16132318,4,22,4,0.5,1.0,,200.0
AutoARIMA,item,weekly,16132318,4,22,4,0.48193272948265076,0.5688498304595654,,200.0
AutoETS,item,weekly,16132318,4,22,4,7.500749394421545e-21,8.661161047498219e-21,,200.0
Prophet,item,weekly,16132318,4,22,4,0.3009384053388304,0.3485186602187049,,200.0
Naive,item,weekly,19366431,4,23,4,0.5,1.0,100.0,200.0
SeasonalNaive,item,weekly,19366431,4,23,4,0.5,1.0,100.0,200.0
AutoARIMA,item,weekly,19366431,4,23,4,0.5,1.0,100.0,200.0
AutoETS,item,weekly,19366431,4,23,4,1.2715554237365723,1.3557581523894244,22.844457626342773,156.44757068287458
